,policy_id,text_one,element_one
270,12,A sugar tax is important because it helps to all children a fair chance of a healthy life.,Morality
271,12,"There is plenty of historical evidence that Government action can change people's behaviour, and a sugar tax would be no different.",Appeal to history
272,12,"If a sugar tax is implemented, the UK would become a world leading role model for other countries seeking to improve public health.",Appeal to national greatness
273,12,A sugar tax makes business elites pay for the costs of childhood obesity that they have done so much to encourage.,Public Opinion
274,12,"It is just common sense that if a sugar tax is introduced, people will consume less sugar and the government will both gain tax revenue and save money on the health service.",Public Opinion
275,12,"A 20% sugar tax would raise about £1 billion, which would benefit areas of the budget that are currently being cut.",Cost/benefit
276,12,"There is evidence from Mexico and France that when a sugar tax is implemented, people's behaviour starts to change and they start to choose sugar-free alternatives.",Appeal to national greatness
277,12,"A sugar tax could help us to address the current obesity crisis, which is marked by the fact that nearly half of children are now overweight.",Cost/benefit
278,12,For the government to fail to address the dangers of high sugar consumption would be a great moral dereliction of duty.,Morality
279,12,Recent opinion polls suggest that a majority of the public are in favour of a sugar tax.,Public Opinion
280,12,One potential side-effect of a sugar tax would be to reduce the amount that the government has to spend each year on obesity treatments.,Cost/benefit
281,12,Public Health England have concluded that a sugar tax on its own will have a limited effect in reducing the nation's sugar intake.,Appeal to authority/endorsement
282,12,It would be fairer if we subsidised access to good food rather than putting up taxes on bad food like sugar.,Morality
283,12,"The experience of recent years provides an argument against a sugar tax, as voluntary action by industry has resulted in tonnes of sugar being removed from products without any need for new taxes.",Appeal to history
284,12,The great people of our country should be trusted to make their own decisions -- they do not need a tax on sugar to tell them what is healthy.,Appeal to national greatness
285,12,Taxes on sugar will inevitably hit ordinary people harder than avocado-eating metropolitan elites.,Public Opinion
286,12,Common sense dictates that the state should not use taxes as a way of telling people how to live their lives.,Public Opinion
287,12,"A 20% sugar tax would raise about £1 billion, a cost that would fall disproportionately on the poor, who spend a larger share of their money on food and drink.",Cost/benefit
288,12,There simply is no good evidence from other countries that sugar taxes have the desired effect on health.,Appeal to national greatness
289,12,"A sugar tax would be yet another example of the increasing interference of the government in everyday life, which is a crisis that we must address.",Cost/benefit
290,12,It is simply wrong for the government to use a sugar tax to interfere with what people choose to eat and drink.,Morality
291,12,Recent opinion polls suggest that a majority of the public are against a sugar tax.,Public Opinion
292,12,A likely unintended consequence of a sugar tax would be for companies to introduce other unhealthy sweetening agents into our drinks.,Cost/benefit
